nTasks=25;
nThreads=36;
nCPUs=20;
nCores=37;
rh=[107.51562240739807 128.95994531076093 158.44806915176628 212.77375254420366 221.93684691627627 167.49647325877066 110.40024782094105 237.27389098550975 264.61468323043795 254.8249630024453 144.27374335191445 166.7250977091387 196.25107613216377 227.8453889762883 257.9121658368847 254.9205758689014 225.35702792863586 183.6773360658887 152.48024197052663 100.4879592360163 282.66250118019803 287.3910155663365 253.55405619010887 269.6198994966076 295.8470186682322 160.15097306515722 194.97885486003116 172.7570295435437 236.91869301219404 111.4676963076032 296.930484004267 201.48301011567156 214.10481522473805 203.82828673515638 177.17921681722626 276.4412471939123];
rc=[640.0573963384046 401.6291555585854 683.7627466825957 636.928776533671 351.42660835077555 386.4499718120719 354.7304673124506 695.0759638173552 686.5556681837072 547.7458721377602 418.27482214310317 407.10148647851173 593.6964911552839 619.1847447758763 596.4779206033611 659.0223255531994 611.7650632323582 604.4217307698154 603.2007809674008 630.1793715578469];
CK=[
	[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
